sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
44,36.5,Yargıtay,CG,2019/280,339,2021-07-06,gebe×1 | travma×15 | illiyet×20 | TCK 87/88 | cenin/düşük,"…hazır olmak üzere kendi iradesini örgüt iradesine terk eden kişidir .Örgüt üyeliği; örgüte katılmayı, bağlanmayı, örgüte hâkim olan hiyerarşik gücün emrine girmeyi ifade etmektedir. Örgüt üyesi örgütle organik bağ kurup faaliyetlerine katılmalıdır. Organik bağ; canlı, geçişken, etkin, faili emir ve talimat almaya açık tutan ve hiyerarşik konumunu tespit eden bağ olup üyeliğin en önemli unsurudur. Ör…",YARGITAY KARARI
45,36.5,Yargıtay,CG,2019/491,350,2021-07-08,gebe×1 | travma×16 | illiyet×19 | TCK 87/88 | cenin/düşük,"…hazır olmak üzere kendi iradesini örgüt iradesine terk eden kişidir. Örgüt üyeliği; örgüte katılmayı, bağlanmayı, örgüte hâkim olan hiyerarşik gücün emrine girmeyi ifade etmektedir. Örgüt üyesi örgütle organik bağ kurup faaliyetlerine katılmalıdır. Organik bağ; canlı, geçişken, etkin, faili emir ve talimat almaya açık tutan ve hiyerarşik konumunu tespit eden bağ olup üyeliğin en önemli unsurudur. Ör…",YARGITAY KARARI
46,36.2,A.İ.H.M.,A.İ.H.M.,2006/40448,,2016-08-30,gebe×46 | travma×6 | illiyet×8 | TCK 87/88 | cenin/düşük,"…&nbsp; I. DAVANIN KOŞULLARI &nbsp; A. Davanın başlangıcı &nbsp; 6 Mart 2005 tarihinde, saat 16.30 sularında, hamileliğinin 30. haftasında bulunan ve erken doğum belirtileri gösteren başvuran S. Aydoğdu, İzmir Kâtip Çelebi Üniversitesi&rsquo;nin yakınındaki Atatürk Eğitim ve Araştırma Hastanesi&rsquo;ne (&quot;Atatürk Hastanesi&quot;) götürülmüştür. Obstetrisyen D.U., gecikmeden sezaryen yapılmasına karar ve…",AYDOĞDU - TÜRKİYE DAVASI
47,36.1,A.İ.H.M.,A.İ.H.M.,1998/40262,,2005-10-06,gebe×5 | travma×31 | illiyet×3 | TCK 87/88 | cenin/düşük | künt/batın,"…ri Hastane'de saat 8'e doğru, anestezi ve reanimasyon uzmanı Dr. Yosunkaya Mahmut Y.'yi muayene etmiş ve Diyarbakır Askeri Hastanesi'ne sevk edilmesi emri vermiştir. Mahmut Y. hastaneye helikopterle götürülmüştür. Diyarbakır Askeri Hastanesi'ndeki kayıtlara göre 24 Kasım 1997 tarihinde, Mahmut Y. Diyarbakır Üniversite Hastanesi biyokimya servisine sevk edilmiştir. Aynı gün, Mahmut Y. Diyarbakır Asker…",H.Y. VE HÜ.Y. - TÜRKİYE DAVASI
48,35.1,Yargıtay,1,2023/2632,4474,2023-06-22,gebe×3 | travma×8 | illiyet×9 | TCK 87/88 | cenin/düşük,"…adına yakın rahim içi gelişim gösteren bebeğin, annenin maruz kaldığı travmaya bağlı ölü olarak doğmuş olduğu annenin maruz kaldığı travmayla bebeğin ölü doğumu arasında illiyet bağı bulunduğu\"" tespitine yer verildiği anlaşılmıştır. 2. Sanığın inkara yönelen savunmaları, mağdur beyanları ve tanık anlatımları, mağdurun yaralanmasına ilişkin ... Osmangazi Üniversitesi Sağlık, Eğitimi, Uygulama ve Araştırma…",YARGITAY KARARI
49,34.8,Anayasa,2,2013/3181,,2016-02-03,gebe×4 | travma×21 | illiyet×4 | TCK 87/88 | cenin/düşük | aile içi,"…e çocuğun hayatının tehlikeye düşürüldüğü, Mahkeme kararma rağmen çocuğun gösterilmediği gibi hakaret edilip kendisinin darbedildiği, çocuğun teslimi emrine muhalefet edildiği, yalan yere tanıklık yapıldığı gerekçeleriyle 8/8/2005, 2/6/2006, 28/7/2007, 25/8/5007, 3/10/2007, 3/4/2008 tarihlerinde suç duyurularında bulunulmuştur. 18. Davalı anne 9/6/1932 tarihli ve 2004 sayılı İcra ve İflas Kanunu'nun…",ANAYASA MAHKEMESİNİN 3/2/2016 TARİHLİ VE 2013/3181 SAYILI KARARI (BİREYSEL BAŞVURU)
50,34.7,A.İ.H.M.,A.İ.H.M.,1994/24277,,1999-07-08,gebe×1 | travma×7 | illiyet×11 | TCK 87/88 | cenin/düşük,"…er 1.Derginin toplatılması 11.1 Haziran 1992 tarihinde, İstanbul Devlet Güvenlik Mahkemesi, derginin 31 Mayıs 1992 tarihli tüm sayılarının toplatılma emrini vermiştir, çünkü bu dergi terörist örgütler tarafından sunulan bir bildiriye yer vermektedir ve bölücü propaganda yapmaktadır. 2. Başvuranlar aleyhindeki suçlamalar 12.16 Haziran 1992 tarihli iddianamesinde İstanbul Devlet Güvenlik Mahkemesi Savc…",SÜREK VE ÖZDEMİR - TÜRKİYE DAVASI
51,34.2,Anayasa,2,2018/1514,,2023-11-22,gebe×72 | travma×2 | illiyet×11 | TCK 87/88 | obstetrik komp.,"…amında incelemiştir (Melahat Sönmez, B. No: 2013/7528, 9/9/2015; Ahmet Sevim, B. No: 2013/474, 9/9/2015; Hilmi Düzgüner, B. No: 2014/9690, 11/5/2017; Emrah Egeç, B. No: 2015/9714, 11/12/2018, &sect; 31; Neslihan Altuğ ve diğerleri, B. No: 2016/2796, 10/12/2019; Hatice Çalış ve diğerleri, &sect; 32). &nbsp; 28. Başvurucu, hastanenin ve doktorun gerekli dikkat ve özeni göstermemiş olması, bunun yanında…",ANAYASA MAHKEMESİNİN 22/11/2023 TARİHLİ VE 2018/1514 SAYILI KARARI (BİREYSEL BAŞVURU) 
52,34.1,Yargıtay,CG,2015/1158,146,2016-03-29,gebe×1 | travma×103 | illiyet×3 | TCK 87/88 | cenin/düşük | künt/batın,"…cak eşi ile mutlu olduklarını bildiğini, ...n zaman zaman eşinin kendisi ile ilgilendiğini söylediğini, kendisinin hamile olduğunu ...n ise daha önce düşük yaptığı için bir daha çocuk sahibi olamayacağını düşündüğünü ve çok üzüldüğünü söylemiş, Hakkında verilen beraat hükmü k...leşen sanık ... kollukta; olay günü aile dostu olan sanık ...'in arayarak ""taksi ile gel bizi al"" dediğini, aracı ile kendilerini…",YARGITAY KARARI
53,34,Yargıtay,CG,2021/130,780,2022-12-08,gebe×27 | travma×132 | illiyet×39 | TCK 87/88 | trafik/iş kaz,"…il sadece hukuk kuralları ile çatışan ihmali davranışlar hukuku ilgilendirmektedir. Bu nedenle ihmali davranışların hukuk düzeni tarafından yapılması emredilen hareketlerin yapılmamasından başka bir şey olmadıkları ifade edilmektedir. (Nevzat Toroslu, Ceza Hukuku Genel Kısım, Savaş Yayınevi, ..., 2019, sayfa, 137-138.). Alman Ceza Kanunu’nun (Strafgesetzbuch) “Suçun ihmal suretiyle icrası” başlıklı 1…",YARGITAY KARARI
54,33.9,Yargıtay,3,2023/16822,20605,2024-12-26,gebe×3 | travma×33 | illiyet×7 | TCK 87/88 | cenin/düşük,"…suçlardan cezalandırılmaları imkânı bulunmamaktadır. Konusu suç teşkil eden emir hiçbir surette yerine getirilemez. Aksi takdirde yerine getiren ile emri veren sorumlu olur (1982 Anayasasının 137/2, 5237 sayılı Türk Ceza Kanununun 24/3. maddesi). Askeri hizmete müteallik hususlarda verilen emir bir suç teşkil ederse bu suçun işlenmesinden emri veren mesuldür. Ancak amirin emrinin adli ve askeri bir…",YARGITAY KARARI
55,33.9,Anayasa,2,2014/5097,,2016-09-28,gebe×3 | travma×25 | illiyet×7 | TCK 87/88 | cenin/düşük,"…i ve 5237 sayılı Türk Ceza Kanunu'nun ""Ceza Sorumluluğunu Kaldıran veya Azaltan Nedenle/' başlıklı İkinci Bölümünde yer alan ""Kanunun hükmü ve amirin emri"" kenar başlıklı 24. maddesi şöyledir: ""(1) Kanunun hükmünü yerine getiren kimseye ceza verilmez. (2) Yetkili bir merciden verilip, yerine getirilmesi görev gereği zorunlu olan bir emri uygulayan sorumlu olmaz. (3) Konusu suç teşkil eden emir hiçbir…",ANAYASA MAHKEMESİNİN 28/9/2016 TARİHLİ VE 2014/5097 SAYILI KARARI (BİREYSEL BAŞVURU) 
56,33.8,Yargıtay,CG,2015/986,102,2018-03-20,gebe×45 | travma×8 | illiyet×5 | TCK 87/88 | cenin/düşük,"…ya ölmesini istemiş ve bu amaçla hareket etmiş ise kasten yaralanma yahut öldürmeden sorumlu tutulacaktır. Öte yandan, hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",YARGITAY KARARI
57,33.8,Yargıtay,12,2020/1236,6759,2020-12-07,gebe×30 | travma×20 | illiyet×4 | cenin/düşük | obstetrik komp.,"…ra kist, kitle, myom gibi teşhisler konulduğu, vajinal bölgesinde bir gün çok şiddetli ağrıyla sargı bezini düşürdüğü, sargı bezini düşürdükten sonra düşük yaptığını, sargı bezini düşürdükten 1 yıl sonra da hamile kaldığını, sağlıklı bir bebek dünyaya getirdiğini, şu an ilişkiye girdiğinde kanaması olduğunu ifade ettiği, yapılan kadın doğum muayenesinde; korunduğu, P4, A1 olduğu, 1. doğumu Bingöl’de, 2. do…",YARGITAY KARARI
58,33.3,Anayasa,GK,2018/96,222,2023-12-27,gebe×3 | travma×7 | illiyet×8 | TCK 87/88 | cenin/düşük,"…üre düşüldükten sonra, iki kat olarak tahsilini öngören kuralda bir orantısızlık bulunmamaktadır. Kural görev yapılan sürenin giderlerden düşülmesini emrederken diğer taraftan borcun aslına faiz uygulanmasına dair bir hüküm koymayarak kendi içerisinde bir dengede kurmaktadır. &nbsp; 5. Diğer taraftan kişiler bu şartları bilerek söz konusu statüye girmekte, diğer taraftan idare de bu kişiler için hem…","ANAYASA MAHKEMESİNİN E: 2018/96 (7079 SAYILI KANUN İLE İLGİLİ), K: 2023/222 SAYILI KARARI"
59,33,Anayasa,2,2018/23753,,2022-03-02,gebe×50 | travma×12 | illiyet×31 | cenin/düşük,"…i söyleyerek ölene iki seçenek sunarak, tampon uygulaması yapılabileceğini ya da kürtaj ile çocuğun alınması gerektiğini söylediği, daha önce 3 sefer düşük yapmış olan ve 4 yıldır hamile kalabilmek için tedavi gören ölenin tampon uygulamasını kabul ettiği ve sanığın, ölene tampon uygulaması yaptığı, anılan uygulamadan sonra belirli aralıklarla kontrole gittiği, olay tarihinde tekrar ölenin suyunun gelmesi…",ANAYASA MAHKEMESİNİN 2/3/2022 TARİHLİ VE 2018/23753 SAYILI KARARI (BİREYSEL BAŞVURU)
60,32.9,Yargıtay,CG,2022/554,331,2025-09-10,gebe×1 | travma×93 | illiyet×7 | TCK 87/88 | cenin/düşük,"….'ın; toptan gıda maddeleri satışı yaptığını, inceleme dışı sanık ...'ı tanıdığını, 02.04.2005 tarihinde ...'ın kendisini arayarak ev arkadaşı ...'in düşük yaptığını söyleyip çağırması üzerine evlerine gittiğini, bir süre sonra evin kapısının kırıldığını ve ... lakaplı sanık ... ile sanık ... ve yanında iki kişinin içeri girerek \""Burada ne işin var o... çocuğu, üçünüzü de öldüreceğiz şimdi!\"" dediğini, so…",YARGITAY KARARI
61,32.2,Yargıtay,12,2016/3048,12163,2016-10-24,gebe×48 | travma×2 | TCK 87/88 | cenin/düşük | obstetrik komp.,"…r vermek üzere hemen işin gerçeğini araştırmaya başlar. Cumhuriyet savcısı, maddî gerçeğin araştırılması ve adil bir yargılamanın yapılabilmesi için, emrindeki adlî kolluk görevlileri marifetiyle, şüphelinin lehine ve aleyhine olan delilleri toplayarak muhafaza altına almakla ve şüphelinin haklarını korumakla yükümlüdür.” şeklindeki düzenleme karşısında, Cumhuriyet savcısının soruşturma yapmak zorund…",YARGITAY KARARI
62,32.2,A.İ.H.M.,A.İ.H.M.,2009/30696,,2011-01-21,gebe×2 | travma×52 | illiyet×6 | TCK 87/88 | cenin/düşük,"…ı Yunanistan üzerinden Avrupa Birliği'ne giriş yapmıştır. 10. Başvurucu bir hafta süreyle gözaltında tutulmuş, bu sürenin ardından ülkeyi terk etmesi emriyle serbest bırakılmıştır. Başvurucu Yunanistan'da iltica başvurusu yapmamıştır. B. Belçika'daki iltica ve sınırdışı prosedürü II. Başvurucu, 10 Şubat 2009 günü Fransa üzerinden geçerek Belçika'ya varmış ve yanında herhangi bir kimlik belgesi olmada…",M.S.S. - BELÇİKA VE YUNANİSTAN DAVASI
63,31.4,Yargıtay,3,2011/10199,37929,2012-11-13,gebe×13 | travma×2 | illiyet×6 | TCK 87/88 | cenin/düşük,"…tinin pozitif olarak bulunabileceğinin, kişinin 20.04.2007 tarihinde yapılan muayenesinde uterus içinin kanamalı olduğunun tespit edilmesinin kişinin düşük yaptığını göstereceğinin, ancak düşük olayının nedeninin ve zamanının mevcut bilgilerle tespit etmenin tıbben mümkün olmadığının bildirilmesine göre, müştekinin mevcut adli raporlarının ve soruşturma dosyasının bir örneğinin Adli Tıp Kurumu ilgili ihtis…",YARGITAY KARARI
64,31.4,A.İ.H.M.,A.İ.H.M.,1996/57,,1997-09-25,gebe×15 | travma×17 | illiyet×2 | TCK 87/88 | cenin/düşük,"…lerini çıkartmış, sırt üstü yatırmış ve tecavüz etmiştir. Bu esnada kendisi büyük acılar ve kanlar içinde kalmıştır. Hemen sonra elbiselerini giymesi emredilmiş ve bir başka odaya götürülmüştür. Başvurucuya göre, kendisi daha sonra tecavüze uğradığı odaya geri getirilmiştir. Kendisi, bir çok kişi tarafından bir saate yakın bir zaman dövülmüş ve başına gelenler konusunda hiçbir şey söylememesi konusun…",AYDIN - TÜRKİYE DAVASI
65,31.4,Anayasa,GK,2011/65,49,2013-03-28,gebe×10 | travma×23 | illiyet×2 | TCK 87/88 | cenin/düşük,"…'da revize edilen ""White Book On Physical and Rehabilitation Medicine In Europe"" başlıklı yayında ayrıntılı olarak belirtilmektedir. Prof. Dr. Bertil Emrah Oder'in 6225 Sayılı Bazı Kanun ve Kanun Hükmünde Kararnamelerde Değişiklik Yapılması Hakkında Kanunun 9 uncu ve 10 uncu maddeleri Uyarınca Tababet ve Şuabatı San'atlarının Tarzı İcrasına Dair Kanuna Eklenen ""Ek madde 13/(b, o, s, ş) hükümlerinin v…","ANAYASA MAHKEMESİNİN E: 2011/65 (6225 VE 1219 SAYILI KANUNLAR İLE İLGİLİ), K: 2013/49 SAYILI KARARI"
66,31.3,A.İ.H.M.,2,2005/43044,,2011-07-05,gebe×5 | travma×12 | illiyet×4 | TCK 87/88 | cenin/düşük,"…Barosu'na bağlı avukat Ursula Metzger Junco'yu tayin ettiğini bildirmiştir. Adli yardım verilen 45001/05 no'lu başvuru sahibi Türk vatandaşı başvuran Emre Güneş 1976 doğumlu olup, Antalya'da ikamet etmektedir. AİHM'de Gaziantep Barosu'na bağlı avukat Akça Yüksel tarafından temsil edilmiştir. OLAYLAR DAVANIN OLAYLARI A. Giriş Başvuranların Burdur cezaevinde tutuklu bulundukları 5 Temmuz 2000 tarihinde…",SAÇILIK VE DİĞERLERİ - TÜRKİYE DAVASI
67,31,Yargıtay,CG,2020/402,670,2022-10-26,gebe×12 | travma×38 | illiyet×63 | TCK 87/88,"…etmek suretiyle de iştirak edebileceği görülmektedir.Konusu suç teşkil eden emir hiçbir surette yerine getirilemez. Aksi takdirde yerine getiren ile emri veren sorumlu olur (1982 Anayasasının 137/2, 5237 sayılı Türk Ceza Kanununun 24/3. maddesi). Askeri hizmete müteallik hususlarda verilen emir bir suç teşkil ederse bu suçun işlenmesinden emri veren mesuldür. Ancak amirin emrinin adli ve askeri bir…",YARGITAY KARARI
68,31,Yargıtay,CG,2019/575,587,2021-11-25,gebe×21 | travma×31 | illiyet×107 | TCK 87/88,"…ca ve Prof. Dr. İlhan Üzülmez Türk Ceza Hukuku Genel Hükümleri s. 408) c-Suçun İhmali Davranışla İşlenmesi: Hukuk normları, ya yasaklayıcı norm ya da emredici norm olarak ortaya çıkarlar. Yasaklayıcı norm, belli bir hareketin yapılmasını yasaklar. Zira yasaklanan hareketin yapılması halinde bir hak ihlali söz konusu olacaktır. Ceza kanunlarındaki suçların çoğu yasaklayıcı normun ihlal edilmesiyle işl…",YARGITAY KARARI
69,31,Yargıtay,CG,2020/466,709,2022-11-09,gebe×46 | travma×25 | illiyet×19 | TCK 87/88,"…dığımı bildirmiş isem de bu gerçek değildir, içimde birtakım üzüntüler yaşamaktayım.”, Şeklinde savunmada bulunmuştur. Hukuk normları, yasaklayıcı ve emredici normlar olmak üzere, iki şekilde ortaya çıkmaktadır. Sadece icrai bir hareketle ihlal edilebilecek olan ve belirli bir hareketin yapılmasının istenmediği yasaklayıcı normlarda, yasaklanan hareketin yapılması sonucunda bir hak ihlali gerçekleşme…",YARGITAY KARARI
70,31,Yargıtay,CG,2022/50,163,2023-03-21,gebe×11 | travma×49 | illiyet×54 | TCK 87/88,"…i amiri olan sanık ...’a, gece 02:00-04:00 arasında iki grup halinde yapılacak intikalin 23:00’de hemen başlatılması, birliklerin derhal hazırlanması emri verilmiştir. Bunun üzerine hazırlıklar tamamlanmış ve 23:00 itibariyle Çardak bölgesine doğru harekât başlamıştır. Sanıklar ... ve ,.... dışındaki sanıklar Denizli’den Çardak Askeri Havaalanına intikal eden birliklere çeşitli kademelerde komuta etm…",YARGITAY KARARI
71,31,Yargıtay,CG,2019/1-350,30,2020-01-28,gebe×38 | travma×130 | illiyet×25 | TCK 87/88,"…Atatürk Eğitim ve Araştırma Hastanesince düzenlenen raporda; saçlı deride sol parietalde 5 cm&#39;lik kesi olduğu, yaşamını tehlikeye sokmadığı, 2,10 promil alkollü olduğu, aynı hastanece düzenlenen 05.10.2011 tarihli raporda ise yaralanmasının basit bir tıbbi müdahale ile giderilebilecek ölçüde hafif nitelikte olduğunun belirtildiği, &nbsp; Maktulün oğlu katılan ... hakkında Selçuk Devlet Hastanesinc…",KASTEN ÖLDÜRME SUÇU - FİKRİ İÇTİMA ŞARTLARININ OLUŞTUĞU VE SANIK HAKKINDA OLASI KASTLA YARALAMA SUÇUNDAN MAHKÛMİYET HÜKÜMLERİ KURULAMAYACAĞINA KARAR VERİLDİĞİ - HÜKMÜN BOZULMASI
72,31,Yargıtay,CG,2021/58,57,2025-02-06,gebe×10 | travma×38 | illiyet×49 | TCK 87/88,"…in gözaltına alınması sonrası geri döndürülerek teslim olduklarının, sanık ...’nun ise diğer sanıklardan farklı olarak kışladan çıkış yapmadığı ancak emrindeki Topçu Taburundan Yüzbaşı ... komutasındaki iki takımı, yasal bir KOKTOD kapsamında çıkarılmadığını, kanunsuz emir üzerine darbecileri desteklemek amacıyla çıkarıldığını bilmesine rağmen 5. Kolordu Komutanın kışladan çıkış yapılmaması emrini ge…",YARGITAY KARARI
73,31,Yargıtay,CG,2021/378,46,2023-01-27,gebe×10 | travma×45 | illiyet×58 | TCK 87/88,"…de karargaha giderek emir komutanın kendisinde olduğunu, birliğe her türlü giriş çıkışın yasak olduğunu ve her tür durumun kendisine rapor edilmesini emrettiği, Güvenlik Tabur Komutanı Yarbay ...’ı karargaha yapılacak giriş çıkışları kontrol altına alması için görevlendirdiği, 15 Temmuz 2016 tarihine ilişkin nöbet listesine göre nöbetçi vardiya amiri olan Binbaşı ...’ın yerine sözlü emirle Binbaşı ..…",YARGITAY KARARI
74,31,Danıştay,10,2019/10269,530,2021-02-16,gebe×27 | travma×12 | illiyet×14 | TCK 87/88,"…nda bir karar verilmeksizin, işin gereği görüşüldü: İNCELEME VE GEREKÇE: MADDİ OLAY : Davacılardan …'in 19/08/2009 tarihinde gebeliğin 27. haftasında erken doğum yaptığı, anılan tarihte dünyaya gelen ...'in erken doğum nedeniyle küveze alındığı, burada 38 gün boyunca takip ve tedavisinin yapılmasının ardından 28/09/2009 tarihinde bebeğin ailesinin isteği ile taburcu edildiği, bebek ...'in 6 aylık iken Balıkl…",DANIŞTAY KARARI
75,31,Yargıtay,3,2021/11343,9868,2023-12-05,gebe×19 | travma×399 | illiyet×42 | TCK 87/88,"…bulunmaması hallerinde olduğu gibi usulüne uygun açılmış bir temyiz davasından bahsedilemeyeceğinden temyiz isteminin reddedilmesini (CMK madde 298) emretmiş (F.Yenisey-A.Nuhoğlu, Ceza Muhakemesi Hukuku sh. 923, Centel-Zafer Ceza Muhakemesi Hukuku sh. 826, C....-N.Göktürk Ceza Muhakemesi Hukuku sh. 278) olmasına, anılan Kanunun 289. maddesinin, usulüne uygun açılmış bir temyiz davasının \""sınırlı in…",YARGITAY KARARI
